Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,2068854,docs/dokumenty/Рабочая-программа-воспитания-профессии-13.01.10-Электромонтер-по-ремонту-и-обслуживанию-электрооборудования-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2161852,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.01.05-Сварщик-ручной-и-частично-механизированной-сварки-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2109343,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.01.05-Сварщик-ручной-и-частично-механизированной-сварки-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2754019,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.01.31-Мастер-контрольно-измерительных-приборов-и-автоматики-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2679537,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.01.31-Мастер-контрольно-измерительных-приборов-и-автоматики-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2200578,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.02.07-Автоматизация-техпроцессов-и-производств-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2146528,docs/dokumenty/Рабочая-программа-воспитания-профессии-15.02.07-Автоматизация-техпроцессов-и-производств-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,3012475,docs/dokumenty/Рабочая-программа-воспитания-профессии-38.00.00-Экономика-и-управление-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2957451,docs/dokumenty/Рабочая-программа-воспитания-профессии-38.00.00-Экономика-и-управление-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,3 МБ,4006662,docs/dokumenty/Рабочая-программа-воспитания-профессии-43.01.09-Повар-кондитер-2021.pdf,
